applicant_id,gender,income,loan_amount,credit_score,region_pincode,region_state,region_type,loan_approved
1,Female,45000,200000,710,800001,Bihar,Rural,0
2,Male,85000,500000,740,400001,Maharashtra,Urban,1
3,Female,90000,500000,760,400051,Maharashtra,Urban,1
4,Male,42000,200000,690,800005,Bihar,Rural,1
5,Female,50000,250000,720,226001,UttarPradesh,Rural,0
6,Male,95000,600000,780,560001,Karnataka,Urban,1
7,Female,92000,600000,775,560010,Karnataka,Urban,1
8,Male,48000,220000,705,302001,Rajasthan,Rural,1
9,Female,46000,210000,715,302005,Rajasthan,Rural,0
10,Male,47000,215000,700,800010,Bihar,Rural,1
11,Female,85000,450000,750,400020,Maharashtra,Urban,1
12,Male,49000,240000,730,226010,UttarPradesh,Rural,1
13,Female,41000,190000,680,800015,Bihar,Rural,0
14,Male,88000,480000,755,560015,Karnataka,Urban,1
15,Female,51000,245000,725,226020,UttarPradesh,Rural,0
16,Male,75000,300000,730,380001,Gujarat,Urban,1
17,Female,72000,290000,720,380015,Gujarat,Urban,1
18,Male,55000,250000,695,700001,WestBengal,Semi-Urban,1
19,Female,53000,240000,700,700012,WestBengal,Semi-Urban,0
20,Male,110000,750000,780,500001,Telangana,Urban,1
21,Female,105000,720000,775,500081,Telangana,Urban,1
22,Male,45000,210000,670,462001,MadhyaPradesh,Rural,1
23,Female,43000,195000,685,462021,MadhyaPradesh,Rural,0
24,Male,88000,400000,740,110001,Delhi,Urban,1
25,Female,84000,390000,735,110020,Delhi,Urban,0
26,Male,46000,205000,680,462040,MadhyaPradesh,Rural,1
27,Female,44000,190000,690,462055,MadhyaPradesh,Rural,0
28,Male,60000,280000,710,700045,WestBengal,Semi-Urban,1
29,Female,58000,270000,725,700064,WestBengal,Semi-Urban,0
30,Male,100000,600000,760,500032,Telangana,Urban,1
31,Female,48000,230000,710,226022,UttarPradesh,Rural,0
32,Male,49000,230000,705,800021,Bihar,Rural,1
33,Female,76000,320000,745,380054,Gujarat,Urban,1
34,Male,86000,410000,750,110005,Delhi,Urban,1
35,Female,85000,400000,765,110011,Delhi,Urban,0
